origen,destino,tipo_relacion
Arriendo!Q10,Arriendo!S10,CORE_FORMULA_REF
Arriendo!$O$4,Arriendo!S10,CORE_FORMULA_REF
Arriendo!S10,Arriendo!T10,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!T10,CORE_FORMULA_REF
Arriendo!C10,Arriendo!C11,CORE_FORMULA_REF
Arriendo!E11,Arriendo!F11,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F11,CORE_FORMULA_REF
IVA Dptos!H15,Arriendo!G11,CORE_FORMULA_REF
Arriendo!G11,Arriendo!H11,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H11,CORE_FORMULA_REF
Arriendo!H11,Arriendo!I11,CORE_FORMULA_REF
Arriendo!F11,Arriendo!J11,CORE_FORMULA_REF
Arriendo!I11,Arriendo!J11,CORE_FORMULA_REF
Arriendo!J11,Arriendo!K11,CORE_FORMULA_REF
Arriendo!F11,Arriendo!L11,CORE_FORMULA_REF
Arriendo!K11,Arriendo!L11,CORE_FORMULA_REF
Arriendo!C11,Arriendo!C12,CORE_FORMULA_REF
Arriendo!E12,Arriendo!F12,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F12,CORE_FORMULA_REF
IVA Dptos!H16,Arriendo!G12,CORE_FORMULA_REF
Arriendo!G12,Arriendo!H12,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H12,CORE_FORMULA_REF
Arriendo!H12,Arriendo!I12,CORE_FORMULA_REF
Arriendo!F12,Arriendo!J12,CORE_FORMULA_REF
Arriendo!I12,Arriendo!J12,CORE_FORMULA_REF
Arriendo!J12,Arriendo!K12,CORE_FORMULA_REF
Arriendo!F12,Arriendo!L12,CORE_FORMULA_REF
Arriendo!K12,Arriendo!L12,CORE_FORMULA_REF
Arriendo!C12,Arriendo!C13,CORE_FORMULA_REF
Arriendo!E13,Arriendo!F13,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F13,CORE_FORMULA_REF
IVA Dptos!H17,Arriendo!G13,CORE_FORMULA_REF
Arriendo!G13,Arriendo!H13,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H13,CORE_FORMULA_REF
Arriendo!H13,Arriendo!I13,CORE_FORMULA_REF
Arriendo!F13,Arriendo!J13,CORE_FORMULA_REF
Arriendo!I13,Arriendo!J13,CORE_FORMULA_REF
Arriendo!J13,Arriendo!K13,CORE_FORMULA_REF
Arriendo!F13,Arriendo!L13,CORE_FORMULA_REF
Arriendo!K13,Arriendo!L13,CORE_FORMULA_REF
Arriendo!R13,Arriendo!Q13,CORE_FORMULA_REF
Arriendo!O1,Arriendo!Q13,CORE_FORMULA_REF
Crédito Comercial 12A!H8,Arriendo!R13,CORE_FORMULA_REF
Arriendo!Q13,Arriendo!S13,CORE_FORMULA_REF
Arriendo!S13,Arriendo!T13,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!T13,CORE_FORMULA_REF
Arriendo!C13,Arriendo!C14,CORE_FORMULA_REF
Arriendo!E14,Arriendo!F14,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F14,CORE_FORMULA_REF
IVA Dptos!H18,Arriendo!G14,CORE_FORMULA_REF
Arriendo!G14,Arriendo!H14,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H14,CORE_FORMULA_REF
Arriendo!H14,Arriendo!I14,CORE_FORMULA_REF
Arriendo!F14,Arriendo!J14,CORE_FORMULA_REF
Arriendo!I14,Arriendo!J14,CORE_FORMULA_REF
Arriendo!J14,Arriendo!K14,CORE_FORMULA_REF
Arriendo!F14,Arriendo!L14,CORE_FORMULA_REF
Arriendo!K14,Arriendo!L14,CORE_FORMULA_REF
Arriendo!C14,Arriendo!C15,CORE_FORMULA_REF
Arriendo!E15,Arriendo!F15,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F15,CORE_FORMULA_REF
IVA Dptos!H19,Arriendo!G15,CORE_FORMULA_REF
Arriendo!G15,Arriendo!H15,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H15,CORE_FORMULA_REF
Arriendo!H15,Arriendo!I15,CORE_FORMULA_REF
Arriendo!F15,Arriendo!J15,CORE_FORMULA_REF
Arriendo!I15,Arriendo!J15,CORE_FORMULA_REF
Arriendo!J15,Arriendo!K15,CORE_FORMULA_REF
Arriendo!F15,Arriendo!L15,CORE_FORMULA_REF
Arriendo!K15,Arriendo!L15,CORE_FORMULA_REF
Arriendo!C15,Arriendo!C16,CORE_FORMULA_REF
Arriendo!E16,Arriendo!F16,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F16,CORE_FORMULA_REF
IVA Dptos!H20,Arriendo!G16,CORE_FORMULA_REF
Arriendo!G16,Arriendo!H16,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H16,CORE_FORMULA_REF
Arriendo!H16,Arriendo!I16,CORE_FORMULA_REF
Arriendo!F16,Arriendo!J16,CORE_FORMULA_REF
Arriendo!I16,Arriendo!J16,CORE_FORMULA_REF
Arriendo!J16,Arriendo!K16,CORE_FORMULA_REF
Arriendo!F16,Arriendo!L16,CORE_FORMULA_REF
Arriendo!K16,Arriendo!L16,CORE_FORMULA_REF
Arriendo!Q16,Arriendo!R16,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!R16,CORE_FORMULA_REF
