hoja,celda,formula,valor_calculado,referencias,complejidad
Arriendo,J11,=F11-I11,2.676245950575062,Arriendo!F11 ; Arriendo!I11,1
Arriendo,K11,=J11*19%,0.5084867306092618,Arriendo!J11,1
Arriendo,L11,=F11-K11,17.377056668732006,Arriendo!F11 ; Arriendo!K11,1
Arriendo,C12,=+C11+1,9,Arriendo!C11,2
Arriendo,F12,=E12/$B$1,15.508737224529353,Arriendo!E12 ; Arriendo!$B$1,1
Arriendo,G12,='IVA Dptos'!H16/$B$1,1240.3483814303638,IVA Dptos!H16,1
Arriendo,H12,=G12*$B$2,136.43832195734,Arriendo!G12 ; Arriendo!$B$2,1
Arriendo,I12,=H12/12,11.369860163111667,Arriendo!H12,1
Arriendo,J12,=F12-I12,4.138877061417686,Arriendo!F12 ; Arriendo!I12,1
Arriendo,K12,=J12*19%,0.7863866416693603,Arriendo!J12,1
Arriendo,L12,=F12-K12,14.722350582859994,Arriendo!F12 ; Arriendo!K12,1
Arriendo,C13,=+C12+1,10,Arriendo!C12,2
Arriendo,F13,=E13/$B$1,15.258483410625244,Arriendo!E13 ; Arriendo!$B$1,1
Arriendo,G13,='IVA Dptos'!H17/$B$1,1148.4358845671268,IVA Dptos!H17,1
Arriendo,H13,=G13*$B$2,126.32794730238395,Arriendo!G13 ; Arriendo!$B$2,1
Arriendo,I13,=H13/12,10.52732894186533,Arriendo!H13,1
Arriendo,J13,=F13-I13,4.7311544687599145,Arriendo!F13 ; Arriendo!I13,1
Arriendo,K13,=J13*19%,0.8989193490643838,Arriendo!J13,1
Arriendo,L13,=F13-K13,14.35956406156086,Arriendo!F13 ; Arriendo!K13,1
Arriendo,Q13,=R13*O1,22042391.55142142,Arriendo!R13 ; Arriendo!O1,1
Arriendo,R13,=-'Crédito Comercial 12A'!H8,553.134041440939,Crédito Comercial 12A!H8,1
Arriendo,S13,=Q13,22042391.55142142,Arriendo!Q13,0
Arriendo,T13,=S13/$O$1,553.134041440939,Arriendo!S13 ; Arriendo!$O$1,1
Arriendo,C14,=+C13+1,11,Arriendo!C13,2
Arriendo,F14,=E14/$B$1,17.9557260282762,Arriendo!E14 ; Arriendo!$B$1,1
Arriendo,G14,='IVA Dptos'!H18/$B$1,1682.9718444165621,IVA Dptos!H18,1
Arriendo,H14,=G14*$B$2,185.12690288582183,Arriendo!G14 ; Arriendo!$B$2,1
Arriendo,I14,=H14/12,15.427241907151819,Arriendo!H14,1
Arriendo,J14,=F14-I14,2.5284841211243805,Arriendo!F14 ; Arriendo!I14,1
Arriendo,K14,=J14*19%,0.4804119830136323,Arriendo!J14,1
Arriendo,L14,=F14-K14,17.475314045262568,Arriendo!F14 ; Arriendo!K14,1
Arriendo,C15,=+C14+1,12,Arriendo!C14,2
Arriendo,F15,=E15/$B$1,15.500481428606745,Arriendo!E15 ; Arriendo!$B$1,1
Arriendo,G15,='IVA Dptos'!H19/$B$1,1240.3483814303638,IVA Dptos!H19,1
Arriendo,H15,=G15*$B$2,136.43832195734,Arriendo!G15 ; Arriendo!$B$2,1
Arriendo,I15,=H15/12,11.369860163111667,Arriendo!H15,1
Arriendo,J15,=F15-I15,4.130621265495078,Arriendo!F15 ; Arriendo!I15,1
Arriendo,K15,=J15*19%,0.7848180404440648,Arriendo!J15,1
Arriendo,L15,=F15-K15,14.71566338816268,Arriendo!F15 ; Arriendo!K15,1
Arriendo,C16,=+C15+1,13,Arriendo!C15,2
Arriendo,F16,=E16/$B$1,18.000092567767478,Arriendo!E16 ; Arriendo!$B$1,1
Arriendo,G16,='IVA Dptos'!H20/$B$1,1682.9718444165621,IVA Dptos!H20,1
Arriendo,H16,=G16*$B$2,185.12690288582183,Arriendo!G16 ; Arriendo!$B$2,1
Arriendo,I16,=H16/12,15.427241907151819,Arriendo!H16,1
Arriendo,J16,=F16-I16,2.572850660615659,Arriendo!F16 ; Arriendo!I16,1
Arriendo,K16,=J16*19%,0.4888416255169752,Arriendo!J16,1
Arriendo,L16,=F16-K16,17.511250942250502,Arriendo!F16 ; Arriendo!K16,1
Arriendo,Q16,=500000,500000,,0
Arriendo,R16,=Q16/$O$1,12.547051442910917,Arriendo!Q16 ; Arriendo!$O$1,1
Arriendo,S16,=Q16*$O$4,7500000,Arriendo!Q16 ; Arriendo!$O$4,1
Arriendo,T16,=S16/$O$1,188.20577164366375,Arriendo!S16 ; Arriendo!$O$1,1
Arriendo,C17,=+C16+1,14,Arriendo!C16,2
Arriendo,F17,=E17/$B$1,15.479841938800222,Arriendo!E17 ; Arriendo!$B$1,1
Arriendo,G17,='IVA Dptos'!H21/$B$1,1240.3483814303638,IVA Dptos!H21,1
Arriendo,H17,=G17*$B$2,136.43832195734,Arriendo!G17 ; Arriendo!$B$2,1
Arriendo,I17,=H17/12,11.369860163111667,Arriendo!H17,1
Arriendo,J17,=F17-I17,4.109981775688555,Arriendo!F17 ; Arriendo!I17,1
Arriendo,K17,=J17*19%,0.7808965373808254,Arriendo!J17,1
Arriendo,L17,=F17-K17,14.698945401419397,Arriendo!F17 ; Arriendo!K17,1
Arriendo,C18,=+C17+1,15,Arriendo!C17,2
Arriendo,F18,=E18/$B$1,17.943342334392284,Arriendo!E18 ; Arriendo!$B$1,1
Arriendo,G18,='IVA Dptos'!H22/$B$1,1682.9718444165621,IVA Dptos!H22,1
Arriendo,H18,=G18*$B$2,185.12690288582183,Arriendo!G18 ; Arriendo!$B$2,1
Arriendo,I18,=H18/12,15.427241907151819,Arriendo!H18,1
Arriendo,J18,=F18-I18,2.516100427240465,Arriendo!F18 ; Arriendo!I18,1
Arriendo,K18,=J18*19%,0.47805908117568835,Arriendo!J18,1
Arriendo,L18,=F18-K18,17.465283253216597,Arriendo!F18 ; Arriendo!K18,1
Arriendo,E19,=AVERAGE(E4:E18),675837.1308348703,Arriendo!E4:E18,2
Arriendo,F19,=SUM(F4:F18),254.39289742843295,Arriendo!F4:F18,2
Arriendo,K19,=SUM(K4:K18),8.837952493627272,Arriendo!K4:K18,2
Arriendo,L19,=F19-K19,245.55494493480566,Arriendo!F19 ; Arriendo!K19,1
Arriendo,O19,=50%,0.5,,0
Arriendo,Q19,=Q4*O19,357603.17773505975,Arriendo!Q4 ; Arriendo!O19,1
Arriendo,R19,=Q19/$O$1,8.97373093438042,Arriendo!Q19 ; Arriendo!$O$1,1
Arriendo,S19,=Q19*$O$4,5364047.666025897,Arriendo!Q19 ; Arriendo!$O$4,1
Arriendo,T19,=S19/$O$1,134.60596401570632,Arriendo!S19 ; Arriendo!$O$1,1
Arriendo,F20,=+F19*B1,10137556.962523052,Arriendo!F19 ; Arriendo!B1,2
Arriendo,R22,=Q22/$O$1,5.470514429109159,Arriendo!Q22 ; Arriendo!$O$1,1
Arriendo,S22,=Q22*$O$4,3270000,Arriendo!Q22 ; Arriendo!$O$4,1
Arriendo,T22,=S22/$O$1,82.05771643663739,Arriendo!S22 ; Arriendo!$O$1,1
Arriendo,R25,=Q25/$O$1,0,Arriendo!Q25 ; Arriendo!$O$1,1
Arriendo,S25,=Q25*$O$4,0,Arriendo!Q25 ; Arriendo!$O$4,1
Arriendo,T25,=S25/$O$1,0,Arriendo!S25 ; Arriendo!$O$1,1
Arriendo,R28,=Q28/$O$1,0.5018820577164367,Arriendo!Q28 ; Arriendo!$O$1,1
Arriendo,S28,=Q28*$O$4,300000,Arriendo!Q28 ; Arriendo!$O$4,1
Arriendo,T28,=S28/$O$1,7.52823086574655,Arriendo!S28 ; Arriendo!$O$1,1
Arriendo,Q31,=Q4*O31,50064.44488290837,Arriendo!Q4 ; Arriendo!O31,1
Arriendo,R31,=Q31/$O$1,1.256322330813259,Arriendo!Q31 ; Arriendo!$O$1,1
Arriendo,S31,=Q31*$O$4,750966.6732436256,Arriendo!Q31 ; Arriendo!$O$4,1
Arriendo,T31,=S31/$O$1,18.844834962198885,Arriendo!S31 ; Arriendo!$O$1,1
Flujo mensual,E4,=SUM(Arriendo!F4:F5),35.83300526810211,Arriendo!F4:F5,2
Flujo mensual,F4,=SUM(Arriendo!F4:F7),71.65775474028162,Arriendo!F4:F7,2
Flujo mensual,G4,=SUM(Arriendo!F4:F9),102.90493143141072,Arriendo!F4:F9,2
Flujo mensual,H4,=SUM(Arriendo!F4:F11),138.74619249543542,Arriendo!F4:F11,2
Flujo mensual,I4,=SUM(Arriendo!F4:F15),202.96962058747295,Arriendo!F4:F15,2
Flujo mensual,J4,=SUM(Arriendo!F4:F18),254.39289742843295,Arriendo!F4:F18,2
Flujo mensual,K4,=J4,254.39289742843295,Flujo mensual!J4,0
Flujo mensual,L4,=K4,254.39289742843295,Flujo mensual!K4,0
Flujo mensual,M4,=L4,254.39289742843295,Flujo mensual!L4,0
Flujo mensual,N4,=M4,254.39289742843295,Flujo mensual!M4,0
Flujo mensual,O4,=N4,254.39289742843295,Flujo mensual!N4,0
Flujo mensual,P4,=SUM(C4:O4),2078.4688890933003,Flujo mensual!C4:O4,2
Flujo mensual,G5,=C11*0.19,178.79548306148055,Flujo mensual!C11,1
Flujo mensual,P5,=SUM(C5:O5),178.79548306148055,Flujo mensual!C5:O5,2
Flujo mensual,G6,='IVA Dptos'!E23,8157.441355932205,IVA Dptos!E23,0
Flujo mensual,P6,=SUM(C6:O6),8157.441355932205,Flujo mensual!C6:O6,2
Flujo mensual,C7,=SUM(C4:C6),0,Flujo mensual!C4:C6,2
Flujo mensual,D7,=SUM(D4:D6),0,Flujo mensual!D4:D6,2
Flujo mensual,E7,=SUM(E4:E6),35.83300526810211,Flujo mensual!E4:E6,2
Flujo mensual,F7,=SUM(F4:F6),71.65775474028162,Flujo mensual!F4:F6,2
Flujo mensual,G7,=SUM(G4:G6),8439.141770425096,Flujo mensual!G4:G6,2
Flujo mensual,H7,=SUM(H4:H6),138.74619249543542,Flujo mensual!H4:H6,2
Flujo mensual,I7,=SUM(I4:I6),202.96962058747295,Flujo mensual!I4:I6,2
Flujo mensual,J7,=SUM(J4:J6),254.39289742843295,Flujo mensual!J4:J6,2
Flujo mensual,K7,=SUM(K4:K6),254.39289742843295,Flujo mensual!K4:K6,2
Flujo mensual,L7,=SUM(L4:L6),254.39289742843295,Flujo mensual!L4:L6,2
Flujo mensual,M7,=SUM(M4:M6),254.39289742843295,Flujo mensual!M4:M6,2
Flujo mensual,N7,=SUM(N4:N6),254.39289742843295,Flujo mensual!N4:N6,2
Flujo mensual,O7,=SUM(O4:O6),254.39289742843295,Flujo mensual!O4:O6,2
Flujo mensual,P7,=SUM(P4:P6),10414.705728086985,Flujo mensual!P4:P6,2
Flujo mensual,C11,=Arriendo!T7,941.0288582183186,Arriendo!T7,0
