hoja,celda,valor_mostrado,valor_real,formula,clasificacion,criticidad,dependencia_input,dependencia_output
Crédito Comercial 20A,K153,30645.576915194295,=K152+J153,=K152+J153,CALCULO,MEDIA,Crédito Comercial 20A!K152; Crédito Comercial 20A!J153,
Crédito Comercial 20A,G154,147,=G153+1,=G153+1,CALCULO,MEDIA,Crédito Comercial 20A!G153,
Crédito Comercial 20A,H154,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I154,-127.68990381330956,=-K153*$D$6,=-K153*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K153; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J154,-266.9990018658736,=H154-I154,=H154-I154,CALCULO,MEDIA,Crédito Comercial 20A!H154; Crédito Comercial 20A!I154,
Crédito Comercial 20A,K154,30378.577913328423,=K153+J154,=K153+J154,CALCULO,MEDIA,Crédito Comercial 20A!K153; Crédito Comercial 20A!J154,
Crédito Comercial 20A,G155,148,=G154+1,=G154+1,CALCULO,MEDIA,Crédito Comercial 20A!G154,
Crédito Comercial 20A,H155,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I155,-126.57740797220175,=-K154*$D$6,=-K154*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K154; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J155,-268.1114977069814,=H155-I155,=H155-I155,CALCULO,MEDIA,Crédito Comercial 20A!H155; Crédito Comercial 20A!I155,
Crédito Comercial 20A,K155,30110.466415621442,=K154+J155,=K154+J155,CALCULO,MEDIA,Crédito Comercial 20A!K154; Crédito Comercial 20A!J155,
Crédito Comercial 20A,G156,149,=G155+1,=G155+1,CALCULO,MEDIA,Crédito Comercial 20A!G155,
Crédito Comercial 20A,H156,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I156,-125.46027673175601,=-K155*$D$6,=-K155*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K155; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J156,-269.2286289474272,=H156-I156,=H156-I156,CALCULO,MEDIA,Crédito Comercial 20A!H156; Crédito Comercial 20A!I156,
Crédito Comercial 20A,K156,29841.237786674013,=K155+J156,=K155+J156,CALCULO,MEDIA,Crédito Comercial 20A!K155; Crédito Comercial 20A!J156,
Crédito Comercial 20A,G157,150,=G156+1,=G156+1,CALCULO,MEDIA,Crédito Comercial 20A!G156,
Crédito Comercial 20A,H157,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I157,-124.33849077780839,=-K156*$D$6,=-K156*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K156; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J157,-270.3504149013748,=H157-I157,=H157-I157,CALCULO,MEDIA,Crédito Comercial 20A!H157; Crédito Comercial 20A!I157,
Crédito Comercial 20A,K157,29570.88737177264,=K156+J157,=K156+J157,CALCULO,MEDIA,Crédito Comercial 20A!K156; Crédito Comercial 20A!J157,
Crédito Comercial 20A,G158,151,=G157+1,=G157+1,CALCULO,MEDIA,Crédito Comercial 20A!G157,
Crédito Comercial 20A,H158,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I158,-123.21203071571932,=-K157*$D$6,=-K157*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K157; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J158,-271.47687496346384,=H158-I158,=H158-I158,CALCULO,MEDIA,Crédito Comercial 20A!H158; Crédito Comercial 20A!I158,
Crédito Comercial 20A,K158,29299.410496809174,=K157+J158,=K157+J158,CALCULO,MEDIA,Crédito Comercial 20A!K157; Crédito Comercial 20A!J158,
Crédito Comercial 20A,G159,152,=G158+1,=G158+1,CALCULO,MEDIA,Crédito Comercial 20A!G158,
Crédito Comercial 20A,H159,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I159,-122.08087707003823,=-K158*$D$6,=-K158*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K158; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J159,-272.6080286091449,=H159-I159,=H159-I159,CALCULO,MEDIA,Crédito Comercial 20A!H159; Crédito Comercial 20A!I159,
Crédito Comercial 20A,K159,29026.80246820003,=K158+J159,=K158+J159,CALCULO,MEDIA,Crédito Comercial 20A!K158; Crédito Comercial 20A!J159,
Crédito Comercial 20A,G160,153,=G159+1,=G159+1,CALCULO,MEDIA,Crédito Comercial 20A!G159,
Crédito Comercial 20A,H160,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I160,-120.94501028416678,=-K159*$D$6,=-K159*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K159; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J160,-273.74389539501635,=H160-I160,=H160-I160,CALCULO,MEDIA,Crédito Comercial 20A!H160; Crédito Comercial 20A!I160,
Crédito Comercial 20A,K160,28753.058572805014,=K159+J160,=K159+J160,CALCULO,MEDIA,Crédito Comercial 20A!K159; Crédito Comercial 20A!J160,
Crédito Comercial 20A,G161,154,=G160+1,=G160+1,CALCULO,MEDIA,Crédito Comercial 20A!G160,
Crédito Comercial 20A,H161,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I161,-119.80441072002088,=-K160*$D$6,=-K160*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K160; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J161,-274.8844949591623,=H161-I161,=H161-I161,CALCULO,MEDIA,Crédito Comercial 20A!H161; Crédito Comercial 20A!I161,
Crédito Comercial 20A,K161,28478.17407784585,=K160+J161,=K160+J161,CALCULO,MEDIA,Crédito Comercial 20A!K160; Crédito Comercial 20A!J161,
Crédito Comercial 20A,G162,155,=G161+1,=G161+1,CALCULO,MEDIA,Crédito Comercial 20A!G161,
Crédito Comercial 20A,H162,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I162,-118.65905865769105,=-K161*$D$6,=-K161*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K161; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J162,-276.0298470214921,=H162-I162,=H162-I162,CALCULO,MEDIA,Crédito Comercial 20A!H162; Crédito Comercial 20A!I162,
Crédito Comercial 20A,K162,28202.14423082436,=K161+J162,=K161+J162,CALCULO,MEDIA,Crédito Comercial 20A!K161; Crédito Comercial 20A!J162,
Crédito Comercial 20A,G163,156,=G162+1,=G162+1,CALCULO,MEDIA,Crédito Comercial 20A!G162,
Crédito Comercial 20A,H163,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I163,-117.5089342951015,=-K162*$D$6,=-K162*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K162; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J163,-277.1799713840817,=H163-I163,=H163-I163,CALCULO,MEDIA,Crédito Comercial 20A!H163; Crédito Comercial 20A!I163,
Crédito Comercial 20A,K163,27924.96425944028,=K162+J163,=K162+J163,CALCULO,MEDIA,Crédito Comercial 20A!K162; Crédito Comercial 20A!J163,
Crédito Comercial 20A,G164,157,=G163+1,=G163+1,CALCULO,MEDIA,Crédito Comercial 20A!G163,
Crédito Comercial 20A,H164,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
Crédito Comercial 20A,I164,-116.35401774766783,=-K163*$D$6,=-K163*$D$6,CALCULO,MEDIA,Crédito Comercial 20A!K163; Crédito Comercial 20A!$D$6,
Crédito Comercial 20A,J164,-278.33488793151537,=H164-I164,=H164-I164,CALCULO,MEDIA,Crédito Comercial 20A!H164; Crédito Comercial 20A!I164,
Crédito Comercial 20A,K164,27646.629371508763,=K163+J164,=K163+J164,CALCULO,MEDIA,Crédito Comercial 20A!K163; Crédito Comercial 20A!J164,
Crédito Comercial 20A,G165,158,=G164+1,=G164+1,CALCULO,MEDIA,Crédito Comercial 20A!G164,
Crédito Comercial 20A,H165,-394.68890567918316,"=PMT($D$5/12,$D$7,$D$4)","=PMT($D$5/12,$D$7,$D$4)",CALCULO,MEDIA,Crédito Comercial 20A!$D$5; Crédito Comercial 20A!$D$7; Crédito Comercial 20A!$D$4,
